step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
15,0.527022237,0.1274719842,0.1219623386,-0.7039837307,-1.58595514227813E-05,0.0031763448,0.7102089956,0.5785733549,0.2988029843,0.1310401544,-0.7039837307,0.0196806225,0.0431286082,0.7166848102,right,open
16,0.5311590204,0.1255967222,0.1230478557,-0.486299427,0.5116932154,0.5106488081,0.4908367501,0.6355943754,0.3043982679,0.3792002942,-0.486299427,-0.0573484958,0.0362913805,0.3690353621,right,open
17,0.5189491798,0.1250818048,-0.1772217644,-0.4844840276,0.5151126855,0.5067246589,0.4931168912,0.6420671069,0.2504299639,0.4776264664,-0.4844840276,-0.609835555,0.0112328762,0.0018056651,right,open
18,0.5993518309,0.1234095883,-0.1809833283,-0.482021146,0.5197852034,0.5066166747,0.4907326177,0.6420588255,0.2501803315,0.4775715755,-0.482021146,0.62886773,-0.0249071011,0.0176884582,right,open
19,0.6010575832,0.1934690385,-0.1821917843,-0.4801365322,0.523225542,0.506497394,0.4890443053,0.6587121169,0.1648501983,0.4785191326,-0.4801365322,0.634103041,-0.0075877821,0.0014644122,right,open
20,0.602102734,0.2312547063,-0.1819634189,-0.4803881847,0.5225607861,0.5064782458,0.4895275307,0.6586211496,0.1650450791,0.4780693509,-0.4803881847,0.6341056452,-0.007007845,0.0012572494,right,w_r_c
21,0.5478845626,0.2202199273,0.0195911056,-0.9998949163,-0.0029054135,-4.49083756228424E-05,0.0142025686,0.6417117979,0.2487111358,0.4780632568,-0.9998949163,-0.5249232011,-0.0019422712,0.0016407371,right,open
22,0.5481077551,-0.0273255024,0.0147968497,-0.9999520307,-0.0039719067,0.0029950988,0.0084373957,0.6414244184,0.2496562948,0.4793394684,-0.9999520307,0.5306472497,-0.0038537934,0.0034735047,right,open
23,0.5519144573,-0.0348848262,0.3180423144,-0.999893635,-0.005850948,0.0063589389,0.0117494218,0.6419348405,0.2489538806,0.4789546921,-0.999893635,0.5285425258,-0.004545029,0.0037081287,right,open
24,0.553637477,-0.1827373712,0.3165598363,-0.9998960321,-0.0056091955,0.0060231057,0.0118399384,0.6435747307,0.2486052673,0.4787121129,-0.9998960321,0.5268405392,-0.0062538122,0.0043116635,right,open
25,0.5549571114,-0.1852309384,0.4474028443,-0.9998932363,-0.0064315696,0.0063976335,0.0114551843,0.6418838749,0.2502134921,0.4788241739,-0.9998932363,0.525809968,-0.0038287502,0.0045477784,right,open
26,0.5552736998,-0.2660552515,0.4466396229,-0.9998766107,-0.0071061833,0.0072123079,0.0120103363,0.6539418381,0.3343981502,0.479746518,-0.9998766107,0.5271759404,-0.0056065733,0.004516943,both,open
27,0.5544574345,-0.2608584957,0.2674185538,-0.9998935454,-0.0056979115,0.0052497945,0.0123641112,0.6561564541,0.334804306,0.3043138333,-0.9998935454,0.52790511,-0.0052454079,0.0045616778,both,open
28,0.55067382,-0.2551050528,0.037468636,-0.9998478251,-0.0044777272,0.0096700247,0.013811852,0.6601007337,0.33353506,0.0682253982,-0.9998478251,0.4716624802,-0.0084902035,0.0001782013,both,open
29,0.6917949411,-0.2523229546,0.0407218486,-0.999836522,-0.0060694095,0.0090324347,0.0144397611,0.7373616479,0.3508008112,0.0494727797,-0.999836522,0.4700157563,-0.0089887678,0.0005397999,both,open
30,0.8390393688,-0.2482839447,-0.0376496918,-0.9997805128,-0.001024016,0.0061674718,0.019995997,0.8604295357,0.3855200128,-0.0263054175,-0.9997805128,0.4278932898,-0.0126381326,0.0010424602,both,open
31,0.6619726559,-0.2326311068,-0.0378692001,-0.9997937195,0.001155103,0.0020710554,0.0201716352,0.6588911804,0.3140287168,-0.0266684965,-0.9997937195,0.39143021,-0.0088972722,0.0010247981,both,open
32,0.6618953341,-0.2300630471,-0.1317308087,-0.9997877602,0.0059399988,0.0059119762,0.0188201884,0.662088034,0.3150431319,-0.1573368809,-0.9997877602,0.3648398135,-0.0098369119,0.0056765246,both,open
33,0.4646235049,-0.229405103,-0.1312450848,-0.9998112014,0.0029864683,0.0004946772,0.0191936916,0.5140074377,0.2773834601,-0.1920136234,-0.9998112014,0.3413026523,-0.0139937948,0.0044275937,both,open
34,0.4126749586,-0.2348769427,-0.1411148315,-0.9997850464,0.0051532366,-0.0007163414,0.0200696774,0.4598049401,0.3683179461,-0.203345477,-0.9997850464,0.3235529488,-0.0114373335,0.0063443336,both,open
35,0.4125251699,-0.2349679679,-0.1411079051,-0.9997490473,0.0052042783,0.002745271,0.0216153043,0.4598845826,0.3678865385,-0.2032517602,-0.9997490473,0.3040628231,-0.0057094863,0.0032000985,left,rl_o
36,0.4687012025,-0.4372379799,-0.0740565764,-0.9997644942,0.0075286842,0.0050078114,0.0197280758,0.5823779628,0.2407412999,-0.0640307333,-0.9997644942,0.3088791177,-0.0105686455,0.0013560788,both,open
