step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.55259054,0.0058120298,0.4028440948,-0.9999398671,-0.0101127575,0.0011348472,0.0040873581,0.7283035875,0.2709176039,0.0520212887,-0.9999398671,-0.0060601822,-0.0006327582,0.0033818997,left,open
1,0.5525199153,0.0044835625,0.4035969396,-0.9999599877,-0.0065468505,0.0013663948,0.0059409433,0.7276315072,0.2699217131,0.052042553,-0.9999599877,0.0025558392,0.0003896478,0.2929787813,left,open
1,0.5530078078,0.0050592813,0.403350376,0.9999718178,0.0063774628,-0.0025063364,0.0030675432,0.7274813936,0.2680683686,0.0523859928,0.9999718178,-0.0005293732,-0.0065777755,0.4167483539,left,open
